house_type,house_size,city,location,,price
2BHK ,816,Delhi,Janakpuri,,32000
3BHK ,900,Delhi,Dabri,,22000
3BHK ,"1,800",Delhi,Dabri,,21000
2BHK ,720,Delhi,Janakpuri,,30000
3BHK ,"1,350",Delhi,Janakpuri,,43000
3BHK ,"1,080",Delhi,Dabri,,23000
3BHK ,"1,350",Delhi,Janakpuri,,40000
2BHK ,675,Delhi,Dabri,,12000
2BHK ,720,Delhi,Sector 19 Dwarka,,28000
2BHK ,720,Delhi,Sector 8 Dwarka,,22000
4BHK ,"2,400",Delhi,Sector 23 Dwarka,,50000
3BHK ,"1,700",Delhi,Sector 5 Dwarka,,40000
3BHK ,"1,750",Delhi,Sector 11 Dwarka,,42000
4BHK ,"2,400",Delhi,Sector 4 Dwarka,,40000
3BHK ,"1,700",Delhi,Sector-18 Dwarka,,40000
2BHK ,"1,200",Delhi,Sector 13 Dwarka,,36000
4BHK ,"1,500",Delhi,Kalyan Vihar,,39000
2BHK ,720,Delhi,Sector 19 Dwarka,,30000
1BHK ,500,Delhi,Govindpuri Extension,,11500
2BHK ,"1,200",Delhi,Paschim Vihar,,32000
2BHK ,"1,200",Delhi,Paschim Vihar,,32000
1BHK ,500,Delhi,Govindpuri Extension,,11500
4BHK ,"1,500",Delhi,Kalyan Vihar,,39000
4BHK ,"2,200",Delhi,Vasant Kunj,,110000
3BHK ,650,Delhi,Vasant Kunj,,26000
4BHK ,"1,800",Delhi,Vasant Kunj,,85000
4BHK ,"1,900",Delhi,Vasant Kunj,,80000
4BHK ,"2,100",Delhi,Vasant Kunj,,90000
3BHK ,"1,710",Delhi,Vasant Kunj,,53000
3BHK ,"1,625",Delhi,Sector-B Vasant Kunj,,55000
3BHK ,"1,700",Delhi,Vasant Kunj,,55000
3BHK ,"1,600",Delhi,Vasant Kunj,,60000
3BHK ,650,Delhi,Vasant Kunj,,26000
3BHK ,"1,700",Delhi,Vasant Kunj,,60000
3BHK ,"1,650",Delhi,Vasant Kunj,,65000
1BHK ,600,Delhi,Govindpuri Extension,,23000
3BHK ,"1,500",Delhi,Hauz Khas,,75000
4BHK ,"2,800",Delhi,Green Park Extension,,145000
2BHK ,"1,500",Delhi,Green Park Extension,,50000
3BHK ,"1,600",Delhi,Safdarjung Enclave,,90000
4BHK ,"4,500",Delhi,Panchsheel Park,,200500
3BHK ,"1,800",Delhi,Safdarjung Enclave,,83500
1BHK ,600,Delhi,Govindpuri Extension,,23000
4BHK ,"2,800",Delhi,Green Park Extension,,145000
2BHK ,"1,500",Delhi,Green Park Extension,,40000
2BHK ,"1,700",Delhi,Green Park Extension,,50000
2BHK ,"1,500",Delhi,Green Park Extension,,50000
3BHK ,"1,800",Delhi,Safdarjung Development Area,,100000
3BHK ,"2,350",Delhi,Panchsheel Enclave,,85000
3BHK ,"1,800",Delhi,Malviya Nagar,,55000
3BHK ,"1,500",Delhi,Hauz Khas,,75000
2BHK ,"1,400",Delhi,Hauz Khas,,47000
3BHK ,"2,400",Delhi,Panchsheel Enclave,,90000
3BHK ,"1,800",Delhi,Safdarjung Development Area,,110000
3BHK ,"1,800",Delhi,Green Park Extension,,95000
2BHK ,"1,500",Delhi,Safdarjung Development Area,,63000
2BHK ,"1,600",Delhi,Safdarjung Development Area,,65000
1BHK ,"1,200",Delhi,Green Park Extension,,50000
2BHK ,"1,600",Delhi,Safdarjung Development Area,,65000
1BHK ,"1,200",Delhi,Green Park Extension,,50000
3BHK ,"1,800",Delhi,Pitampura,,60000
3BHK ,"1,800",Delhi,Pitampura,,50000
3BHK ,"1,800",Delhi,Pitampura,,48000
3BHK ,"1,800",Delhi,Pitampura,,65000
3BHK ,"3,600",Delhi,Defence Colony,,200000
4BHK ,"2,925",Delhi,Defence Colony,,230000
3BHK ,"2,200",Delhi,Defence Colony,,100000
3BHK ,"2,200",Delhi,Defence Colony,,100000
3BHK ,"1,800",Delhi,Lajpat Nagar,,95000
6BHK ,"7,200",Delhi,Sheikh Sarai,,400000
2BHK ,"1,050",Delhi,Shastri Nagar,,24000
3BHK ,"2,200",Delhi,Jor bagh,,270000
4BHK ,"2,700",Delhi,Green Park Extension,,120000
4BHK ,"2,700",Delhi,Defence Colony,,190000
3BHK ,"1,900",Delhi,Greater kailash 1,,80000
3BHK ,"3,500",Delhi,Golf Links,,250000
4BHK ,"2,700",Delhi,Safdarjung Enclave,,150000
3BHK ,"2,700",Delhi,Greater kailash 1,,120000
4BHK ,"2,700",Delhi,Hauz Khas,,150000
4BHK ,"5,400",Delhi,Vasant Vihar,,250000
4BHK ,"3,500",Delhi,Safdarjung Development Area,,190000
